日期,经度,纬度,高程,日降雨量,涌水量
2023-05-01,400093.254,3044617.466,340,0.484,245.0
2023-05-02,400093.254,3044617.466,340,0.996,245.0
2023-05-03,400093.254,3044617.466,340,0.263,245.0
2023-05-04,400093.254,3044617.466,340,1.424,245.0
2023-05-05,400093.254,3044617.466,340,3.938,244.286
2023-05-06,400093.254,3044617.466,340,5.408,243.571
2023-05-07,400093.254,3044617.466,340,3.243,242.857
2023-05-08,400093.254,3044617.466,340,7.224,242.143
2023-05-09,400093.254,3044617.466,340,6.471,241.429
2023-05-10,400093.254,3044617.466,340,7.278,240.714
2023-05-11,400093.254,3044617.466,340,5.701,240.0
2023-05-12,400093.254,3044617.466,340,0.861,237.857
2023-05-13,400093.254,3044617.466,340,0.721,235.714
2023-05-14,400093.254,3044617.466,340,0.01,233.571
2023-05-15,400093.254,3044617.466,340,0.197,231.429
2023-05-16,400093.254,3044617.466,340,0.128,229.286
2023-05-17,400093.254,3044617.466,340,2.667,227.143
2023-05-18,400093.254,3044617.466,340,5.087,225.0
2023-05-19,400093.254,3044617.466,340,10.411,224.286
2023-05-20,400093.254,3044617.466,340,3.336,223.571
2023-05-21,400093.254,3044617.466,340,8.08,222.857
2023-05-22,400093.254,3044617.466,340,2.35,222.143
2023-05-23,400093.254,3044617.466,340,0.174,221.429
2023-05-24,400093.254,3044617.466,340,0.656,220.714
2023-05-25,400093.254,3044617.466,340,3.075,220.0
2023-05-26,400093.254,3044617.466,340,1.318,220.0
2023-05-27,400093.254,3044617.466,340,2.701,220.0
2023-05-28,400093.254,3044617.466,340,1.192,220.0
2023-05-29,400093.254,3044617.466,340,1.731,220.0
2023-05-30,400093.254,3044617.466,340,6.552,220.0
2023-05-31,400093.254,3044617.466,340,12.877,220.0
2023-06-01,400093.254,3044617.466,340,21.218,220.0
2023-06-02,400093.254,3044617.466,340,6.422,221.429
2023-06-03,400093.254,3044617.466,340,5.392,222.857
2023-06-04,400093.254,3044617.466,340,4.177,224.286
2023-06-05,400093.254,3044617.466,340,3.262,225.714
2023-06-06,400093.254,3044617.466,340,0.24,227.143
2023-06-07,400093.254,3044617.466,340,2.729,228.571
2023-06-08,400093.254,3044617.466,340,7.139,230.0
2023-06-09,400093.254,3044617.466,340,0.769,231.429
2023-06-10,400093.254,3044617.466,340,0.006,232.857
2023-06-11,400093.254,3044617.466,340,0.586,234.286
2023-06-12,400093.254,3044617.466,340,10.311,235.714
2023-06-13,400093.254,3044617.466,340,4.297,237.143
2023-06-14,400093.254,3044617.466,340,17.09,238.571
2023-06-15,400093.254,3044617.466,340,8.189,240.0
2023-06-16,400093.254,3044617.466,340,2.114,244.286
2023-06-17,400093.254,3044617.466,340,2.551,248.571
2023-06-18,400093.254,3044617.466,340,2.93,252.857
2023-06-19,400093.254,3044617.466,340,12.428,257.143
2023-06-20,400093.254,3044617.466,340,9.305,261.429
2023-06-21,400093.254,3044617.466,340,17.877,265.714
2023-06-22,400093.254,3044617.466,340,1.063,270.0
2023-06-23,400093.254,3044617.466,340,2.098,268.571
2023-06-24,400093.254,3044617.466,340,1.219,267.143
2023-06-25,400093.254,3044617.466,340,0.114,265.714
2023-06-26,400093.254,3044617.466,340,0.36,264.286
2023-06-27,400093.254,3044617.466,340,0.007,262.857
2023-06-28,400093.254,3044617.466,340,3.077,261.429
2023-06-29,400093.254,3044617.466,340,5.332,260.0
2023-06-30,400093.254,3044617.466,340,4.964,260.714
2023-07-01,400093.254,3044617.466,340,2.301,261.429
2023-07-02,400093.254,3044617.466,340,2.955,262.143
2023-07-03,400093.254,3044617.466,340,28.755,262.857
2023-07-04,400093.254,3044617.466,340,17.698,263.571
2023-07-05,400093.254,3044617.466,340,0.006,264.286
2023-07-06,400093.254,3044617.466,340,0.426,265.0
2023-07-07,400093.254,3044617.466,340,18.664,264.644
2023-07-08,400093.254,3044617.466,340,14.752,264.289
2023-07-09,400093.254,3044617.466,340,0.671,263.933
2023-07-10,400093.254,3044617.466,340,0.156,263.577
2023-07-11,400093.254,3044617.466,340,2.832,263.221
2023-07-12,400093.254,3044617.466,340,5.618,262.866
2023-07-13,400093.254,3044617.466,340,13.176,262.51
2023-07-14,400093.254,3044617.466,340,1.834,264.391
2023-07-15,400093.254,3044617.466,340,0.006,266.273
2023-07-16,400093.254,3044617.466,340,0.006,268.154
2023-07-17,400093.254,3044617.466,340,0.081,270.036
2023-07-18,400093.254,3044617.466,340,0.115,271.917
2023-07-19,400093.254,3044617.466,340,14.893,273.799
2023-07-20,400093.254,3044617.466,340,15.754,275.68
2023-07-21,400093.254,3044617.466,340,11.376,277.011
2023-07-22,400093.254,3044617.466,340,0.147,278.343
2023-07-23,400093.254,3044617.466,340,0.925,279.674
2023-07-24,400093.254,3044617.466,340,11.861,281.006
2023-07-25,400093.254,3044617.466,340,17.807,282.337
2023-07-26,400093.254,3044617.466,340,14.6,283.669
2023-07-27,400093.254,3044617.466,340,29.919,285.0
2023-07-28,400093.254,3044617.466,340,3.775,285.0
2023-07-29,400093.254,3044617.466,340,0.691,285.0
2023-07-30,400093.254,3044617.466,340,3.725,285.0
2023-07-31,400093.254,3044617.466,340,17.763,285.0
2023-08-01,400093.254,3044617.466,340,10.583,285.0
2023-08-02,400093.254,3044617.466,340,5.523,285.0
2023-08-03,400093.254,3044617.466,340,3.957,285.0
2023-08-04,400093.254,3044617.466,340,13.026,285.714
2023-08-05,400093.254,3044617.466,340,12.168,286.429
2023-08-06,400093.254,3044617.466,340,13.103,287.143
2023-08-07,400093.254,3044617.466,340,6.248,287.857
2023-08-08,400093.254,3044617.466,340,7.088,288.571
2023-08-09,400093.254,3044617.466,340,10.196,289.286
2023-08-10,400093.254,3044617.466,340,5.224,290.0
2023-08-11,400093.254,3044617.466,340,8.858,290.714
2023-08-12,400093.254,3044617.466,340,4.072,291.429
2023-08-13,400093.254,3044617.466,340,0.093,292.143
2023-08-14,400093.254,3044617.466,340,0.061,292.857
2023-08-15,400093.254,3044617.466,340,1.839,293.571
2023-08-16,400093.254,3044617.466,340,2.52,294.286
2023-08-17,400093.254,3044617.466,340,14.437,295.0
2023-08-18,400093.254,3044617.466,340,12.114,295.714
2023-08-19,400093.254,3044617.466,340,18.894,296.429
2023-08-20,400093.254,3044617.466,340,13.549,297.143
2023-08-21,400093.254,3044617.466,340,22.641,297.857
2023-08-22,400093.254,3044617.466,340,1.798,298.571
2023-08-23,400093.254,3044617.466,340,19.719,299.286
2023-08-24,400093.254,3044617.466,340,20.582,300.0
2023-08-25,400093.254,3044617.466,340,5.89,300.714
2023-08-26,400093.254,3044617.466,340,10.337,301.429
2023-08-27,400093.254,3044617.466,340,8.659,302.143
2023-08-28,400093.254,3044617.466,340,1.612,302.857
2023-08-29,400093.254,3044617.466,340,1.821,303.571
2023-08-30,400093.254,3044617.466,340,4.127,304.286
2023-08-31,400093.254,3044617.466,340,0.133,305.0
2023-09-01,400093.254,3044617.466,340,2.195,305.714
2023-09-02,400093.254,3044617.466,340,0.019,306.429
2023-09-03,400093.254,3044617.466,340,0.035,307.143
2023-09-04,400093.254,3044617.466,340,0.588,307.857
2023-09-05,400093.254,3044617.466,340,0.032,308.571
2023-09-06,400093.254,3044617.466,340,1.861,309.286
2023-09-07,400093.254,3044617.466,340,2.556,310.0
2023-09-08,400093.254,3044617.466,340,1.387,310.0
2023-09-09,400093.254,3044617.466,340,15.73,310.0
2023-09-10,400093.254,3044617.466,340,2.887,310.0
2023-09-11,400093.254,3044617.466,340,16.649,310.0
2023-09-12,400093.254,3044617.466,340,5.307,310.0
2023-09-13,400093.254,3044617.466,340,0.803,310.0
2023-09-14,400093.254,3044617.466,340,0.011,310.0
2023-09-15,400093.254,3044617.466,340,0.071,310.0
2023-09-16,400093.254,3044617.466,340,0.042,310.0
2023-09-17,400093.254,3044617.466,340,0.713,310.0
2023-09-18,400093.254,3044617.466,340,2.023,310.0
2023-09-19,400093.254,3044617.466,340,16.716,310.0
2023-09-20,400093.254,3044617.466,340,18.546,310.0
2023-09-21,400093.254,3044617.466,340,9.754,310.0
2023-09-22,400093.254,3044617.466,340,6.079,310.714
2023-09-23,400093.254,3044617.466,340,2.212,311.429
2023-09-24,400093.254,3044617.466,340,4.073,312.143
2023-09-25,400093.254,3044617.466,340,7.924,312.857
2023-09-26,400093.254,3044617.466,340,1.773,313.571
2023-09-27,400093.254,3044617.466,340,2.546,314.286
2023-09-28,400093.254,3044617.466,340,9.514,315.0
2023-09-29,400093.254,3044617.466,340,2.285,316.143
2023-09-30,400093.254,3044617.466,340,2.237,317.286
2023-10-01,400093.254,3044617.466,340,2.042,318.429
2023-10-02,400093.254,3044617.466,340,3.449,319.571
2023-10-03,400093.254,3044617.466,340,2.353,320.714
2023-10-04,400093.254,3044617.466,340,5.877,321.857
2023-10-05,400093.254,3044617.466,340,12.409,323.0
2023-10-06,400093.254,3044617.466,340,13.773,324.714
2023-10-07,400093.254,3044617.466,340,13.352,326.429
2023-10-08,400093.254,3044617.466,340,4.657,328.143
2023-10-09,400093.254,3044617.466,340,5.811,329.857
2023-10-10,400093.254,3044617.466,340,2.437,331.571
2023-10-11,400093.254,3044617.466,340,3.013,333.286
2023-10-12,400093.254,3044617.466,340,5.791,335.0
2023-10-13,400093.254,3044617.466,340,11.172,334.286
2023-10-14,400093.254,3044617.466,340,1.109,333.571
2023-10-15,400093.254,3044617.466,340,1.114,332.857
2023-10-16,400093.254,3044617.466,340,1.261,332.143
2023-10-17,400093.254,3044617.466,340,0.959,331.429
2023-10-18,400093.254,3044617.466,340,3.811,330.714
2023-10-19,400093.254,3044617.466,340,4.114,330.0
2023-10-20,400093.254,3044617.466,340,0.081,330.0
2023-10-21,400093.254,3044617.466,340,0.084,330.0
2023-10-22,400093.254,3044617.466,340,0.31,330.0
2023-10-23,400093.254,3044617.466,340,0.611,330.0
2023-10-24,400093.254,3044617.466,340,3.22,330.0
2023-10-25,400093.254,3044617.466,340,3.445,330.0
2023-10-26,400093.254,3044617.466,340,5.756,330.0
2023-10-27,400093.254,3044617.466,340,1.747,329.286
2023-10-28,400093.254,3044617.466,340,0.686,328.571
2023-10-29,400093.254,3044617.466,340,0.825,327.857
2023-10-30,400093.254,3044617.466,340,0.428,327.143
2023-10-31,400093.254,3044617.466,340,0.469,326.429
2023-11-01,400093.254,3044617.466,340,0.332,325.714
2023-11-02,400093.254,3044617.466,340,1.713,325.0
2023-11-03,400093.254,3044617.466,340,6.605,325.0
2023-11-04,400093.254,3044617.466,340,1.462,325.0
2023-11-05,400093.254,3044617.466,340,2.768,325.0
2023-11-06,400093.254,3044617.466,340,0.377,325.0
2023-11-07,400093.254,3044617.466,340,0.334,325.0
2023-11-08,400093.254,3044617.466,340,1.785,325.0
2023-11-09,400093.254,3044617.466,340,1.756,325.0
2023-11-10,400093.254,3044617.466,340,1.864,323.571
2023-11-11,400093.254,3044617.466,340,4.122,322.143
2023-11-12,400093.254,3044617.466,340,8.955,320.714
2023-11-13,400093.254,3044617.466,340,0.963,319.286
2023-11-14,400093.254,3044617.466,340,0.547,317.857
2023-11-15,400093.254,3044617.466,340,5.23,316.429
2023-11-16,400093.254,3044617.466,340,2.18,315.0
2023-11-17,400093.254,3044617.466,340,0.007,314.286
2023-11-18,400093.254,3044617.466,340,4.838,313.571
2023-11-19,400093.254,3044617.466,340,0.01,312.857
2023-11-20,400093.254,3044617.466,340,0.259,312.143
2023-11-21,400093.254,3044617.466,340,1.371,311.429
2023-11-22,400093.254,3044617.466,340,0.375,310.714
2023-11-23,400093.254,3044617.466,340,0.389,310.0
2023-11-24,400093.254,3044617.466,340,0.583,310.0
2023-11-25,400093.254,3044617.466,340,2.389,310.0
2023-11-26,400093.254,3044617.466,340,2.016,310.0
2023-11-27,400093.254,3044617.466,340,0.48,310.0
2023-11-28,400093.254,3044617.466,340,1.008,310.0
2023-11-29,400093.254,3044617.466,340,3.373,310.0
2023-11-30,400093.254,3044617.466,340,4.979,310.0
2023-12-01,400093.254,3044617.466,340,2.496,310.0
2023-12-02,400093.254,3044617.466,340,2.149,308.571
2023-12-03,400093.254,3044617.466,340,1.537,307.143
2023-12-04,400093.254,3044617.466,340,0.472,305.714
2023-12-05,400093.254,3044617.466,340,1.666,304.286
2023-12-06,400093.254,3044617.466,340,2.142,302.857
2023-12-07,400093.254,3044617.466,340,0.005,301.429
2023-12-08,400093.254,3044617.466,340,0.264,300.0
2023-12-09,400093.254,3044617.466,340,0.295,299.286
2023-12-10,400093.254,3044617.466,340,1.363,298.571
2023-12-11,400093.254,3044617.466,340,2.959,297.857
2023-12-12,400093.254,3044617.466,340,1.038,297.143
2023-12-13,400093.254,3044617.466,340,0.015,296.429
2023-12-14,400093.254,3044617.466,340,0.435,295.714
2023-12-15,400093.254,3044617.466,340,3.68,295.0
2023-12-16,400093.254,3044617.466,340,1.633,292.143
2023-12-17,400093.254,3044617.466,340,1.013,289.286
2023-12-18,400093.254,3044617.466,340,0.946,286.429
2023-12-19,400093.254,3044617.466,340,0.075,283.571
2023-12-20,400093.254,3044617.466,340,0.139,280.714
2023-12-21,400093.254,3044617.466,340,1.589,277.857
2023-12-22,400093.254,3044617.466,340,2.597,275.0
2023-12-23,400093.254,3044617.466,340,1.079,274.286
2023-12-24,400093.254,3044617.466,340,1.098,273.571
2023-12-25,400093.254,3044617.466,340,0.266,272.857
2023-12-26,400093.254,3044617.466,340,0.674,272.143
2023-12-27,400093.254,3044617.466,340,0.068,271.429
2023-12-28,400093.254,3044617.466,340,1.119,270.714
2023-12-29,400093.254,3044617.466,340,0.748,270.0
2023-12-30,400093.254,3044617.466,340,0.311,270.429
2023-12-31,400093.254,3044617.466,340,0.777,270.857
2024-01-01,400093.254,3044617.466,340,0.715,271.286
2024-01-02,400093.254,3044617.466,340,0.924,271.714
2024-01-03,400093.254,3044617.466,340,1.091,272.143
2024-01-04,400093.254,3044617.466,340,0.063,272.571
2024-01-05,400093.254,3044617.466,340,0.018,273.0
2024-01-06,400093.254,3044617.466,340,0.029,271.857
2024-01-07,400093.254,3044617.466,340,0.104,270.714
2024-01-08,400093.254,3044617.466,340,0.028,269.571
2024-01-09,400093.254,3044617.466,340,0.046,268.429
2024-01-10,400093.254,3044617.466,340,0.486,267.286
2024-01-11,400093.254,3044617.466,340,0.219,266.143
2024-01-12,400093.254,3044617.466,340,0.024,265.0
2024-01-13,400093.254,3044617.466,340,0.002,263.571
2024-01-14,400093.254,3044617.466,340,0.003,262.143
2024-01-15,400093.254,3044617.466,340,0.006,260.714
2024-01-16,400093.254,3044617.466,340,0.076,259.286
2024-01-17,400093.254,3044617.466,340,0.156,257.857
2024-01-18,400093.254,3044617.466,340,0.01,256.429
2024-01-19,400093.254,3044617.466,340,0.111,255.0
2024-01-20,400093.254,3044617.466,340,0.717,256.429
2024-01-21,400093.254,3044617.466,340,4.834,257.857
2024-01-22,400093.254,3044617.466,340,2.549,259.286
2024-01-23,400093.254,3044617.466,340,0.971,260.714
2024-01-24,400093.254,3044617.466,340,0.902,262.143
2024-01-25,400093.254,3044617.466,340,0.266,263.571
2024-01-26,400093.254,3044617.466,340,0.12,265.0
2024-01-27,400093.254,3044617.466,340,0.44,264.857
2024-01-28,400093.254,3044617.466,340,0.218,264.714
2024-01-29,400093.254,3044617.466,340,0.022,264.571
2024-01-30,400093.254,3044617.466,340,0.032,264.429
2024-01-31,400093.254,3044617.466,340,0.01,264.286
2024-02-01,400093.254,3044617.466,340,0.023,264.143
2024-02-02,400093.254,3044617.466,340,0.168,264.0
2024-02-03,400093.254,3044617.466,340,2.874,263.667
2024-02-04,400093.254,3044617.466,340,0.287,263.333
2024-02-05,400093.254,3044617.466,340,0.267,263.0
2024-02-06,400093.254,3044617.466,340,0.401,262.667
2024-02-07,400093.254,3044617.466,340,0.204,262.333
2024-02-08,400093.254,3044617.466,340,0.267,262.0
2024-02-09,400093.254,3044617.466,340,0.077,263.533
2024-02-10,400093.254,3044617.466,340,0.002,265.067
2024-02-11,400093.254,3044617.466,340,0.001,266.6
2024-02-12,400093.254,3044617.466,340,0.001,268.133
2024-02-13,400093.254,3044617.466,340,0.0,269.667
2024-02-14,400093.254,3044617.466,340,0.003,271.2
2024-02-15,400093.254,3044617.466,340,0.004,272.733
2024-02-16,400093.254,3044617.466,340,0.0,274.267
2024-02-17,400093.254,3044617.466,340,0.001,275.8
2024-02-18,400093.254,3044617.466,340,0.001,277.333
2024-02-19,400093.254,3044617.466,340,0.001,278.867
2024-02-20,400093.254,3044617.466,340,0.001,280.4
2024-02-21,400093.254,3044617.466,340,0.211,281.933
2024-02-22,400093.254,3044617.466,340,0.662,283.467
2024-02-23,400093.254,3044617.466,340,0.326,285.0
2024-02-24,400093.254,3044617.466,340,0.769,283.386
2024-02-25,400093.254,3044617.466,340,0.049,281.771
2024-02-26,400093.254,3044617.466,340,0.068,280.157
2024-02-27,400093.254,3044617.466,340,0.047,278.543
2024-02-28,400093.254,3044617.466,340,0.145,276.929
2024-02-29,400093.254,3044617.466,340,0.375,275.314
2024-03-01,400093.254,3044617.466,340,3.49,273.7
2024-03-02,400093.254,3044617.466,340,2.079,273.1
2024-03-03,400093.254,3044617.466,340,0.398,272.5
2024-03-04,400093.254,3044617.466,340,0.702,271.9
2024-03-05,400093.254,3044617.466,340,2.192,271.3
2024-03-06,400093.254,3044617.466,340,3.488,270.7
2024-03-07,400093.254,3044617.466,340,4.253,270.1
2024-03-08,400093.254,3044617.466,340,2.302,269.5
2024-03-09,400093.254,3044617.466,340,2.238,269.25
2024-03-10,400093.254,3044617.466,340,3.825,269.0
2024-03-11,400093.254,3044617.466,340,0.678,268.75
2024-03-12,400093.254,3044617.466,340,1.421,268.5
2024-03-13,400093.254,3044617.466,340,2.0,268.25
2024-03-14,400093.254,3044617.466,340,0.0,268.0
2024-03-15,400093.254,3044617.466,340,0.0,267.75
2024-03-16,400093.254,3044617.466,340,0.0,267.5
2024-03-17,400093.254,3044617.466,340,0.0,268.167
2024-03-18,400093.254,3044617.466,340,0.0,268.833
2024-03-19,400093.254,3044617.466,340,0.051,269.5
2024-03-20,400093.254,3044617.466,340,0.149,270.167
2024-03-21,400093.254,3044617.466,340,0.0,270.833
2024-03-22,400093.254,3044617.466,340,0.0,271.5
2024-03-23,400093.254,3044617.466,340,0.0,273.429
2024-03-24,400093.254,3044617.466,340,0.0,275.357
2024-03-25,400093.254,3044617.466,340,0.0,277.286
2024-03-26,400093.254,3044617.466,340,0.0,279.214
2024-03-27,400093.254,3044617.466,340,4.179,281.143
2024-03-28,400093.254,3044617.466,340,5.183,283.071
2024-03-29,400093.254,3044617.466,340,0.039,285.0
2024-03-30,400093.254,3044617.466,340,1.066,285.0
2024-03-31,400093.254,3044617.466,340,2.134,285.0
2024-04-01,400093.254,3044617.466,340,0.0,285.0
2024-04-02,400093.254,3044617.466,340,0.0,285.0
2024-04-03,400093.254,3044617.466,340,0.0,285.0
2024-04-04,400093.254,3044617.466,340,0.0,285.0
2024-04-05,400093.254,3044617.466,340,0.086,285.0
2024-04-06,400093.254,3044617.466,340,0.391,286.875
2024-04-07,400093.254,3044617.466,340,0.323,288.75
2024-04-08,400093.254,3044617.466,340,0.0,290.625
2024-04-09,400093.254,3044617.466,340,0.0,292.5
2024-04-10,400093.254,3044617.466,340,0.215,294.375
2024-04-11,400093.254,3044617.466,340,0.185,296.25
2024-04-12,400093.254,3044617.466,340,0.0,298.125
2024-04-13,400093.254,3044617.466,340,0.0,300.0
2024-04-14,400093.254,3044617.466,340,0.0,300.0
2024-04-15,400093.254,3044617.466,340,0.0,300.0
2024-04-16,400093.254,3044617.466,340,0.0,300.0
2024-04-17,400093.254,3044617.466,340,2.149,300.0
2024-04-18,400093.254,3044617.466,340,3.257,300.0
2024-04-19,400093.254,3044617.466,340,4.497,300.0
2024-04-20,400093.254,3044617.466,340,6.45,300.0
2024-04-21,400093.254,3044617.466,340,0.901,300.0
2024-04-22,400093.254,3044617.466,340,3.199,300.0
2024-04-23,400093.254,3044617.466,340,4.241,300.0
2024-04-24,400093.254,3044617.466,340,0.26,300.0
2024-04-25,400093.254,3044617.466,340,0.0,300.0
2024-04-26,400093.254,3044617.466,340,0.0,300.0
2024-04-27,400093.254,3044617.466,340,0.0,300.0
2024-04-28,400093.254,3044617.466,340,0.0,300.0
2024-04-29,400093.254,3044617.466,340,0.49,300.0
2024-04-30,400093.254,3044617.466,340,1.744,300.0
2024-05-01,400093.254,3044617.466,340,1.566,300.0
2024-05-02,400093.254,3044617.466,340,0.0,300.0
2024-05-03,400093.254,3044617.466,340,0.213,300.0
2024-05-04,400093.254,3044617.466,340,4.776,300.0
2024-05-05,400093.254,3044617.466,340,0.011,300.0
2024-05-06,400093.254,3044617.466,340,6.953,300.0
2024-05-07,400093.254,3044617.466,340,10.717,300.0
2024-05-08,400093.254,3044617.466,340,5.388,300.0
2024-05-09,400093.254,3044617.466,340,3.532,300.0
2024-05-10,400093.254,3044617.466,340,0.221,300.0
2024-05-11,400093.254,3044617.466,340,4.495,300.0
2023-01-01,400119.158,3044703.654,670,1.747,120.0
